"initial","final","env1","env2","interval","prevalence1"
0,1,-1.12579212644206,-0.463116770198366,10,0.454
1,0,-1.98268734052038,-0.84929494365103,7,0.642
0,1,-0.587602184703447,0.240329874053281,5,0.384
1,0,-1.0604264695464,-0.274364106407916,4,0.714
1,0,-1.037420381638,-0.161932486288772,7,0.628
0,1,-0.987428459128283,-0.56955624226066,11,0.492
0,1,-1.50386619667482,-0.643985028650883,8,0.534
0,1,-1.46853930500126,-1.70191453689664,11,0.594
0,1,-1.13756775808306,0.143824752716806,8,0.822
0,1,-1.14732626319799,-0.384272716818908,10,0.638
0,1,-1.2125283678715,0.115598581606939,7,0.82
0,1,-1.10872836120081,-0.332393329695224,9,0.538
1,0,-0.969874048268743,-0.947061569841575,7,0.536
1,0,-1.28220084898465,-0.343746873381844,13,0.46
0,1,-1.06227614571119,-1.67957914291786,5,0.63
1,0,-0.681043982430081,-0.368503906143006,10,0.356
1,0,-0.829547780609808,-0.0315244219991339,10,0.608
0,1,-1.26377416825868,-0.320566721688279,7,0.664
1,0,-0.960170053737338,0.808637810812525,5,0.752
0,1,-0.902411601181684,0.0544277260388541,5,0.684
0,1,-1.09471754250268,-0.259699112479335,7,0.592
0,1,-1.10987321148339,-0.573656133036392,7,0.33
1,0,-1.14334653600182,0.266506099775273,11,0.488
1,0,-1.34756650688561,-1.70270297743044,12,0.662
0,1,-1.29310421294245,-0.214127249625991,9,0.508
0,1,-1.26110284315089,-0.172024525121353,7,0.756
1,0,-0.22201245282969,0.622250468623452,10,0.334
0,1,-1.17371239703685,-0.31410150931117,12,0.722
0,1,-1.26808099507574,-0.360934877018576,10,0.566
0,1,-1.01433250689532,-1.58958428770329,5,0.856
1,0,-0.988355243355736,-0.817599634192481,7,0.472
0,1,-0.969328881343726,-0.924669858681803,10,0.464
1,0,-0.718633322185487,0.0377231837404361,14,0.312
1,0,-0.957607762235923,-0.1929970433203,8,0.786
0,1,-0.723294521476752,0.565640438296999,5,0.298
0,1,-0.623801350670817,0.183089091299783,5,0.378
0,1,-0.869781185331716,-1.74590951868239,5,0.55
0,1,-1.38163951090287,1.80538433363581,5,0.91
0,1,-1.58940307151099,-1.31573636344399,7,0.274
0,1,-0.695381910446681,-1.22632720691167,5,0.402
1,0,-0.862584965544234,0.0485811362343953,13,0.74
0,1,-0.620039685305475,0.0105783025055048,5,0.262
1,0,-0.843831184070224,-0.15625571444545,5,0.698
0,1,-0.907452302451556,-2.0016796278454,5,0.466
0,1,-0.919555027813648,-0.587059622110904,5,0.814
0,1,-0.379347970922058,0.417098241730073,5,0.382
0,1,-1.15648508755492,-0.377965192548543,14,0.6
1,0,-1.19132132808611,-0.0960188576635503,10,0.582
0,1,-0.697726131018786,0.0747573619563886,2,0.378
0,1,-1.44913132016274,-0.619385683996485,8,0.422
1,0,-0.789882906766189,-0.244752532645843,13,0.692
0,1,-0.738613731631457,-1.41271454910074,5,0.274
1,0,-1.37858656896991,-0.719202255574898,15,0.254
1,0,-0.633014676187856,-1.31289797752233,5,0.53
0,1,-1.41909255819009,1.2181538240655,11,0.652
0,1,-1.21776198048997,-0.199935320017686,11,0.648
1,0,-1.03665714313378,-0.803407704584174,7,0.572
1,0,-0.677827495037905,0.201380911683813,3,0.238
1,0,-0.875178352122,0.54072571742907,7,0.672
1,0,-1.14029359384546,-0.212392680451651,7,0.7
0,1,-0.685350824468804,-0.120775890424712,5,0.34
0,1,-1.10583897142907,-0.504273366062457,10,0.548
1,0,-1.24894559664455,0.297728344913545,7,0.93
0,1,-0.826113220988539,0.0388044736153485,5,0.762
0,1,-1.32145295343244,0.0843763364686669,11,0.538
1,0,-1.10344023149991,-0.668426685198519,7,0.65
1,0,-0.813683391182156,-0.0988572435852109,3,0.762
0,1,-0.792312800149459,-0.8805171887893,11,0.388
1,0,-0.708084334438774,0.0507887697290357,11,0.228
0,1,-0.945100049861945,0.394976853039034,14,0.584
0,1,-0.339605211818439,0.531579807237066,5,0.468
0,1,-1.1117267864372,-0.000144488754119485,5,0.81
0,1,-1.36544801791438,-0.617651114822138,15,0.444
0,1,-0.674501984529002,0.164639582808986,3,0.348
0,1,-0.87463318324731,-1.68157277112474,5,0.628
0,1,-1.32188908770561,-0.742855471588742,5,0.508
0,1,-0.886517844179002,0.433813181046505,5,0.446
0,1,-1.00695716266145,0.340754671186327,14,0.784
1,0,-0.750880020263841,0.438859200462807,5,0.54
1,0,-1.18090861928173,0.031708508811196,8,0.7
1,0,-1.08479548549055,-0.723775210670909,7,0.718
1,0,-0.966439491247039,0.0772803716645144,4,0.492
0,1,-0.530086941861306,0.00537459498246007,5,0.47
1,0,-1.18548802951052,-0.579332904879714,7,0.8
0,1,-0.61546026077908,-0.231630629476233,10,0.496
1,0,-0.904890009650358,-0.0960188576635503,11,0.556
1,0,-1.18865000339466,-0.933027328340029,12,0.39
1,0,-1.00302026216891,-1.86212565336373,10,0.656
1,0,-1.24856397901716,-0.77596997400812,6,0.344
1,0,-0.973526676869648,-0.176755168324145,8,0.518
0,1,-1.02150146830405,-0.0332589911734979,13,0.78
1,0,-0.82355093338647,0.366953423780705,5,0.508
0,1,-0.357172211616802,-1.55750862066855,5,0.398
1,0,-1.28367280466605,-0.423537055401879,13,0.496
0,1,-0.62418296017456,-1.47799742529894,5,0.394
0,1,-1.28132857983919,-0.0107095919069527,10,0.654
0,1,-0.798200617757159,-0.635942935206177,14,0.332
0,1,-0.839197253184593,0.0242971677935334,10,0.378
1,0,-1.0755276230694,-0.740017085667078,7,0.748
1,0,-1.19971692108763,-0.410291254434118,6,0.458
0,1,-1.52676325721174,-0.607401387882808,13,0.428
0,1,-0.932311966613558,-1.04656276520647,7,0.368
0,1,-1.17605662364075,-0.396887765359617,15,0.614
1,0,-0.791876667389313,-1.43652545322134,10,0.592
0,1,-0.604175297177607,0.612946870324658,5,0.562
0,1,-1.0127242580001,-1.8457260902608,5,0.674
0,1,-1.00705451327138,0.092733806126907,5,0.512
0,1,-0.744774129127266,-1.61187462793729,5,0.442
1,0,-1.0066728920696,-0.0769385967457095,10,0.648
0,1,-1.10229538024249,-0.0868729474715226,11,0.766
0,1,-1.23231796887515,1.61205871474933,10,0.932
0,1,-1.44629644693525,-0.375915247160668,15,0.662
1,0,-0.969874048268743,-1.03883604797528,7,0.56
0,1,-0.892296624372376,-0.4353636634088,5,0.71
1,0,-1.14323750183694,-0.429213827245207,7,0.686
0,1,-0.817608599021277,0.697940759867746,9,0.558
0,1,-1.39570484757704,-0.642408147583293,12,0.364
1,0,-1.95570151371776,-0.659280775006502,12,0.574
